codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
mojette-nonsys,4+2,65536,1,56,1188,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,65536,1,62,73,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,65536,1,68,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,65536,1,77,5154,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,65536,2,45,46,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,65536,2,77,91,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,2,62,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,65536,2,68,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,65536,2,68,1182,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,65536,2,68,66,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,65536,2,74,72,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,65536,2,78,5366,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,65536,3,39,57,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,65536,3,68,81,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,3,60,64,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,65536,3,62,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,65536,3,66,1188,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,65536,3,63,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,65536,3,78,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,65536,3,94,4354,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,65536,4,50,56,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,65536,4,93,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,4,63,64,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,65536,4,67,66,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,65536,4,58,1202,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,65536,4,66,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,65536,4,64,73,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,65536,4,75,5544,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,65536,5,49,59,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,65536,5,81,81,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,65536,5,66,57,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,65536,5,56,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,65536,5,63,1162,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,65536,5,57,69,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,65536,5,80,60,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,65536,5,74,5504,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,262144,1,103,118,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,262144,1,145,155,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,1,50,55,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,262144,1,56,53,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,262144,1,54,1165,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,262144,1,54,62,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,262144,1,65,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,262144,1,76,5424,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,262144,2,107,118,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,262144,2,144,144,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,2,56,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,262144,2,54,58,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,262144,2,70,1174,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,262144,2,52,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,262144,2,69,75,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,262144,2,77,4861,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,262144,3,118,112,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,262144,3,157,155,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,3,77,54,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,262144,3,60,64,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,262144,3,62,1171,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,262144,3,60,63,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,262144,3,68,59,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,262144,3,77,4508,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,262144,4,117,121,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,262144,4,157,154,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,4,69,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,262144,4,59,61,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,262144,4,65,1169,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,262144,4,56,64,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,262144,4,66,77,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,262144,4,75,4857,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,262144,5,103,125,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,262144,5,151,153,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,262144,5,62,52,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,262144,5,65,70,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,262144,5,50,1177,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,262144,5,62,74,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,262144,5,76,70,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,262144,5,74,5179,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,1048576,1,362,363,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,1048576,1,419,418,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,1,88,80,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,1048576,1,96,89,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,1048576,1,108,4699,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,1048576,1,83,81,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,1048576,1,86,85,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,1048576,1,109,9498,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,1048576,2,355,370,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,1048576,2,441,422,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,2,101,89,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,1048576,2,99,87,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,1048576,2,108,4541,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,1048576,2,104,71,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,1048576,2,82,80,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,1048576,2,109,10966,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,1048576,3,360,371,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,1048576,3,421,432,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,3,115,96,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,1048576,3,98,99,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,1048576,3,98,4718,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,1048576,3,86,90,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,1048576,3,97,99,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,1048576,3,111,10243,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,1048576,4,365,365,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,1048576,4,452,421,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,4,104,100,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,1048576,4,90,97,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,1048576,4,106,4543,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,1048576,4,84,82,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,1048576,4,96,94,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,1048576,4,115,10569,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,1048576,5,360,377,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,1048576,5,431,419,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,1048576,5,108,86,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,1048576,5,95,88,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,1048576,5,100,4611,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,1048576,5,82,80,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,1048576,5,85,83,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,1048576,5,101,10165,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,4194304,1,1330,1354,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,4194304,1,1568,1522,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,1,295,222,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,4194304,1,249,230,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,4194304,1,280,18712,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,4194304,1,205,189,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,4194304,1,231,212,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,4194304,1,282,40763,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,4194304,2,1375,1323,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,4194304,2,1551,1508,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,2,269,221,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,4194304,2,253,244,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,4194304,2,266,19218,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,4194304,2,218,195,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,4194304,2,235,194,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,4194304,2,271,40640,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,4194304,3,1355,1349,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,4194304,3,1593,1506,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,3,322,208,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,4194304,3,248,227,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,4194304,3,280,18721,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,4194304,3,214,188,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,4194304,3,228,197,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,4194304,3,283,39105,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,4194304,4,1366,1377,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,4194304,4,1561,1496,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,4,297,217,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,4194304,4,254,216,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,4194304,4,286,18691,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,4194304,4,264,192,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,4194304,4,229,205,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,4194304,4,271,42035,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,4194304,5,1409,1400,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,4194304,5,1554,1545,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,5,290,222,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,4194304,5,260,231,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,4194304,5,281,18481,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,4194304,5,220,186,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,4194304,5,227,204,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,4194304,5,263,41827,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,16777216,1,5439,5379,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,16777216,1,6025,5936,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,1,1083,748,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,16777216,1,899,802,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,16777216,1,975,75418,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,16777216,1,761,614,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,16777216,1,762,680,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,16777216,1,971,160662,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,16777216,2,5343,5295,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,16777216,2,5999,5929,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,2,876,739,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,16777216,2,877,766,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,16777216,2,961,75480,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,16777216,2,765,616,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,16777216,2,772,688,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,16777216,2,993,159558,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,16777216,3,5188,5156,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,16777216,3,5985,5936,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,3,918,743,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,16777216,3,868,777,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,16777216,3,973,76931,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,16777216,3,779,638,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,16777216,3,793,679,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,8+2,16777216,3,979,160565,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
plain,1+0,16777216,4,5247,5093,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
stripe,10+0,16777216,4,5132,5794,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,16777216,4,910,735,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,4+2,16777216,4,863,757,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-nonsys,4+2,16777216,4,979,76070,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
rs,8+2,16777216,4,691,627,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
mojette-sys,8+2,16777216,4,798,652,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,65536,simd
